"dataname","Name","Competition","NumberSteps","Jump","Height cleared","Height","Cleared","Foot Plant Step 1","Foot Plant Step 2","Foot Plant Step 3","Foot Plant Step 4","Foot Plant Step 5","Foot Plant Step 6","Foot Plant Step 7","Foot Plant Step 8","Foot Plant Step 9","Foot Plant Take-Off","Contact Time 3rd last","Contact Time 2nd last","Contact Time last","Step Time Step 1","Step Time Step 2","Step Time Step 3","Step Time Step 4","Step Time Step 5","Step Time Step 6","Step Time Step 7","Step Time Step 8","Step Time Step 9","Cadencev1Avg","Cadencev1 Step 1","Cadencev1 Step 2","Cadencev1 Step 3","Cadencev1 Step 4","Cadencev1 Step 5","Cadencev1 Step 6","Cadencev1 Step 7","Cadencev1 Step 8","Cadencev1 Step 9","Cadencev2Avg","Cadencev2 Step 1","Cadencev2 Step 2","Cadencev2 Step 3","Cadencev2 Step 4","Cadencev2 Step 5","Cadencev2 Step 6","Cadencev2 Step 7","Cadencev2 Step 8","Cadencev2 Step 9"
"Nicola McDermott_WellingtonCapitalClassic2020","Nicola McDermott","WellingtonCapitalClassic2020",10,1,"1.86 X","1.86","N",0,0.58,1.09,1.57,1.95,2.33,2.65,2.92,3.24,3.42,0.155,0.15,0.18,0.58,0.51,0.48,0.38,0.38,0.32,0.27,0.32,0.18,2.92397660818713,1.72413793103448,1.8348623853211,1.91082802547771,2.05128205128205,2.14592274678112,2.26415094339623,2.3972602739726,2.46913580246914,2.63157894736842,2.92397660818713,1.72413793103448,1.96078431372549,2.08333333333333,2.63157894736842,2.63157894736842,3.125,3.7037037037037,3.125,5.55555555555556
"Nicola McDermott_WellingtonCapitalClassic2020","Nicola McDermott","WellingtonCapitalClassic2020",10,2,"1.86 XO","1.86","Y",0,0.597777778,1.081111111,1.5255555555,1.8755555555,2.255,2.595,2.875,3.185,3.365,0.155,0.14,0.185,0.597777778,0.483333333,0.4444444445,0.35,0.3794444445,0.34,0.28,0.31,0.18,2.97176820208024,1.67286245290972,1.84994861272867,1.96649672257708,2.13270142186412,2.21729490022173,2.3121387283237,2.43478260869565,2.51177394034537,2.67459138187221,2.97176820208024,1.67286245290972,2.06896551866825,2.24999999971875,2.85714285714286,2.63543191762292,2.94117647058823,3.57142857142857,3.2258064516129,5.55555555555555
"Nicola McDermott_WellingtonCapitalClassic2020","Nicola McDermott","WellingtonCapitalClassic2020",10,3,"1.90 X","1.9","N",0,0.58,1.09,1.55,1.9,2.26,2.59,2.88,3.2,3.39,0.155,0.14,0.175,0.58,0.51,0.46,0.35,0.36,0.33,0.29,0.32,0.19,2.94985250737463,1.72413793103448,1.8348623853211,1.93548387096774,2.10526315789474,2.21238938053097,2.31660231660232,2.43055555555556,2.5,2.65486725663717,2.94985250737463,1.72413793103448,1.96078431372549,2.17391304347826,2.85714285714286,2.77777777777778,3.03030303030303,3.44827586206897,3.125,5.26315789473684
"Nicola McDermott_WellingtonCapitalClassic2020","Nicola McDermott","WellingtonCapitalClassic2020",10,4,"1.90 XO","1.9","Y",0,0.58,1.06,1.52,1.86,2.24,2.555,2.84,3.14,3.32,0.15,0.14,0.18,0.58,0.48,0.46,0.34,0.38,0.315,0.285,0.3,0.18,3.01204819277108,1.72413793103448,1.88679245283019,1.97368421052632,2.1505376344086,2.23214285714286,2.34833659491194,2.46478873239437,2.54777070063694,2.71084337349398,3.01204819277108,1.72413793103448,2.08333333333333,2.17391304347826,2.94117647058823,2.63157894736842,3.17460317460318,3.50877192982457,3.33333333333333,5.55555555555556
"Nicola McDermott_WellingtonCapitalClassic2020","Nicola McDermott","WellingtonCapitalClassic2020",10,5,"1.93 O","1.93","Y",0,0.63,1.12,1.57,1.94,2.305,2.63,2.9,3.21,3.39,0.15,0.13,0.185,0.63,0.49,0.45,0.37,0.365,0.325,0.27,0.31,0.18,2.94985250737463,1.58730158730159,1.78571428571429,1.91082802547771,2.06185567010309,2.16919739696312,2.28136882129278,2.41379310344828,2.49221183800623,2.65486725663717,2.94985250737463,1.58730158730159,2.04081632653061,2.22222222222222,2.7027027027027,2.73972602739726,3.07692307692308,3.7037037037037,3.2258064516129,5.55555555555555
"Nicola McDermott_WellingtonCapitalClassic2020","Nicola McDermott","WellingtonCapitalClassic2020",10,6,"1.96 X","1.96","N",0,0.62,1.07,1.55,1.89,2.25,2.565,2.85,3.165,3.37,0.16,0.155,0.17,0.62,0.45,0.48,0.34,0.36,0.315,0.285,0.315,0.205,2.9673590504451,1.61290322580645,1.86915887850467,1.93548387096774,2.11640211640212,2.22222222222222,2.33918128654971,2.45614035087719,2.52764612954186,2.67062314540059,2.9673590504451,1.61290322580645,2.22222222222222,2.08333333333333,2.94117647058824,2.77777777777778,3.17460317460318,3.50877192982456,3.17460317460318,4.8780487804878
"Nicola McDermott_WellingtonCapitalClassic2020","Nicola McDermott","WellingtonCapitalClassic2020",10,7,"1.96 XX","1.96","N",0,0.58,1.06,1.5,1.85,2.22,2.535,2.85,3.16,3.35,0.15,0.145,0.19,0.58,0.48,0.44,0.35,0.37,0.315,0.315,0.31,0.19,2.98507462686567,1.72413793103448,1.88679245283019,2,2.16216216216216,2.25225225225225,2.36686390532544,2.45614035087719,2.53164556962025,2.6865671641791,2.98507462686567,1.72413793103448,2.08333333333333,2.27272727272727,2.85714285714286,2.7027027027027,3.17460317460318,3.17460317460318,3.2258064516129,5.26315789473684
"Nicola McDermott_WellingtonCapitalClassic2020","Nicola McDermott","WellingtonCapitalClassic2020",10,8,"1.96 XXO","1.96","Y",0,0.59,1.105,1.46,1.81,2.16,2.5,2.79,3.105,3.28,0.15,0.135,0.185,0.59,0.515,0.355,0.35,0.35,0.34,0.29,0.315,0.175,3.04878048780488,1.69491525423729,1.80995475113122,2.05479452054795,2.20994475138122,2.31481481481481,2.4,2.5089605734767,2.57648953301127,2.74390243902439,3.04878048780488,1.69491525423729,1.94174757281553,2.8169014084507,2.85714285714286,2.85714285714286,2.94117647058824,3.44827586206897,3.17460317460318,5.71428571428572
"Nicola McDermott_WellingtonCapitalClassic2020","Nicola McDermott","WellingtonCapitalClassic2020",10,9,"1.99 X","1.99","N",0,0.59,1.05,1.5,1.86,2.22,2.55,2.855,3.17,3.38,0.145,0.135,0.185,0.59,0.46,0.45,0.36,0.36,0.33,0.305,0.315,0.21,2.9585798816568,1.69491525423729,1.9047619047619,2,2.1505376344086,2.25225225225225,2.35294117647059,2.45183887915937,2.52365930599369,2.66272189349112,2.9585798816568,1.69491525423729,2.17391304347826,2.22222222222222,2.77777777777778,2.77777777777778,3.03030303030303,3.27868852459016,3.17460317460318,4.76190476190476
"Nicola McDermott_WellingtonCapitalClassic2020","Nicola McDermott","WellingtonCapitalClassic2020",10,10,"1.99 XX","1.99","N",0,0.61,1.095,1.53,1.88,2.23,2.555,2.84,3.145,3.33,0.145,0.135,0.17,0.61,0.485,0.435,0.35,0.35,0.325,0.285,0.305,0.185,3.003003003003,1.63934426229508,1.82648401826484,1.96078431372549,2.12765957446809,2.24215246636771,2.34833659491194,2.46478873239437,2.54372019077901,2.7027027027027,3.003003003003,1.63934426229508,2.06185567010309,2.29885057471264,2.85714285714286,2.85714285714286,3.07692307692308,3.50877192982457,3.27868852459016,5.4054054054054
"Nicola McDermott_WellingtonCapitalClassic2020","Nicola McDermott","WellingtonCapitalClassic2020",10,11,"1.99 XXX","1.99","N",0,0.6,1.08,1.55,1.89,2.26,2.58,2.86,3.16,3.34,0.15,0.14,0.185,0.6,0.48,0.47,0.34,0.37,0.32,0.28,0.3,0.18,2.9940119760479,1.66666666666667,1.85185185185185,1.93548387096774,2.11640211640212,2.21238938053097,2.32558139534884,2.44755244755245,2.53164556962025,2.69461077844311,2.9940119760479,1.66666666666667,2.08333333333333,2.12765957446809,2.94117647058824,2.7027027027027,3.125,3.57142857142857,3.33333333333333,5.55555555555556
